cfg,N,sigma_eee,sigma_eoe,sector_eee,sector_eoe,eta2_eee,eta2_eoe,ritz2_eee,ritz1_eoe,L_l2_eee,L_l1_eoe,matches_report,rho_rec,rho_free,rho_unchanged,margin_to_rho,G3_min_margin
SL1,72,1.7656061569520733,1.7656061569520733,eee,eoe,0.55,0.04,-0.2203681443754415,-0.2410055472754865,-0.26313162457283745,-0.2706534665552991,True,-0.397309606637101,-0.397309606637101,True,0.12665614008180193,0.28119803310353486
C1,48,1.8146568831188563,1.8146568831188563,eee,eoe,0.5,0.04,-0.2051186288203867,-0.22670280773646354,-0.339381770239517,-0.3249504570169297,True,-0.38717368347964354,-0.38717368347964354,True,0.04779191324012655,0.2118052773753586
C2,56,1.991749904742849,1.991749904742849,eee,eoe,0.5,0.04,-0.19377356574851473,-0.219376962390274,-0.35528272759123203,-0.34126850144582055,True,-0.41869273170224897,-0.41869273170224897,True,0.06341000411101694,0.1958403974082421
