# LG_lower and the columns listed in derived_from_LG are FLOAT ESTIMATES, not certified bounds.
# H2plus: validated against certified runs C1/C2 to ~1e-6 -- usable for cell selection.
# H3plus: UNRELIABLE at the 1e-4 level (certified/float ratio 0.9845 at D3a but 2.39 at D1);
#   at d_paper=2.8, L=12, N=64 the float LG_lower -0.93640124532559 exceeds a four-way-verified
#   variational upper bound -0.936444734 by 4.3489e-05, so it is not a bound. DO NOT QUOTE as a width.
# Ritz columns (mu1N_Ritz, lambda1D_Ritz, trunc_gap_discrete, truncation_term, sigma_confinement)
#   do not pass through the Lehmann-Goerisch chain and are unaffected; the L*(N) curve SHAPE stands.
system,d_paper,box,L,Ly,N,Nprime,D,D_aux,npanel,t_star,mu1N_Ritz,eee2_Ritz,lambda1D_Ritz,mu2N_oee_Ritz,eoe_Ritz,rho_used,LG_lower,LG_lower_ideal_rho,enclosure_width,truncation_term,LG_discretisation_term,trunc_gap_discrete,lambda_ref,reference_status,sigma_confinement,hypothesis_holds,max_a_over_L,clearance,moment_tail_bound,tier,status,reason,wall_seconds,LG_lower_status,derived_from_LG
H2plus,2.0,"[-12,12]x[-9.6,9.6]^2",12,9.6,32,48.0,4913,15625.0,58,1.0,-0.5506964289616832,-0.2050636900832306,-0.5506157911594376,-0.333740321424985,,-0.339966063824985,-0.5522100532169929,-0.5521805836334159,0.0015942620575553,0.0007012088405623,0.0008930532169928,8.063780224576433e-05,-0.551317,exact_spheroidal,-0.2039542541120009,True,0.1666666666666666,10.0,1.9686989534356135e-41,lg,ok,,11.793545961380005,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-12,12]x[-9.6,9.6]^2",12,9.6,40,,9261,,58,1.0,-0.5510633264430999,-0.2051050325084,-0.5509385084526,,,,,,,,,0.0001248179905583,-0.551317,exact_spheroidal,-0.2039542541119999,True,0.1666666666666999,9.9999999999996,1.968698953436e-41,dense,ok,,8.954619169235,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-12,12]x[-9.6,9.6]^2",12,9.6,48,64.0,15625,35937.0,58,1.0,-0.5511870476171932,-0.2051186288194079,-0.5510679235583786,-0.3341415342983618,,-0.3403672766983618,-0.5515394845756576,-0.5515326115106041,0.0004715610172789,0.0002490764416213,0.0002224845756575,0.0001191240588147,-0.551317,exact_spheroidal,-0.2039542541120009,True,0.1666666666666666,10.0,1.9686989534356135e-41,lg,ok,,89.1044909954071,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-12,12]x[-9.6,9.6]^2",12,9.6,56,,24389,,58,1.0,-0.5512489612186,-0.2051257012008,-0.5511205730011999,,,,,,,,,0.0001283882173919,-0.551317,exact_spheroidal,-0.2039542541119999,True,0.1666666666666999,9.9999999999996,1.968698953436e-41,dense,ok,,71.7394900322,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-12,12]x[-9.6,9.6]^2",12,9.6,64,80.0,35937,68921.0,58,1.0,-0.5513003808331151,-0.2051314573736207,-0.5511667530791285,-0.3342521072892732,,-0.3404778496892733,-0.5514182890715332,-0.5514159887244618,0.0002515359924044,0.0001502469208712,0.0001012890715332,0.0001336277539866,-0.551317,exact_spheroidal,-0.2039542541120009,True,0.1666666666666666,10.0,1.9686989534356135e-41,lg,ok,,297.5488660335541,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,24,,2197,,67,1.0,-0.5489325298050999,-0.1935277592829,-0.5491606647911998,,,,,,,,,-0.0002281349861094,-0.551317,exact_spheroidal,-0.1757906384837,True,0.1428571428570999,12.0000000000006,5.941719739612001e-56,dense,ok,,0.8640959262848,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,32,48.0,4913,15625.0,67,1.0,-0.5504308998769984,-0.193696556181354,-0.5504654186877909,-0.3327228002166471,,-0.3389485426166472,-0.5522187262526846,-0.5521840919737389,0.0017533075648935,0.0008515813122087,0.0009017262526845,-3.451881079263863e-05,-0.551317,exact_spheroidal,-0.1757906384836573,True,0.1428571428571427,12.0,5.941719739612334e-56,lg,ok,,11.726778030395508,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,40,,9261,,67,1.0,-0.5507622428781,-0.193733099953,-0.550799832488,,,,,,,,,-3.758960985345e-05,-0.551317,exact_spheroidal,-0.1757906384837,True,0.1428571428570999,12.0000000000006,5.941719739612001e-56,dense,ok,,9.668621063232,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,48,64.0,15625,35937.0,67,1.0,-0.5510131135538705,-0.1937617469356998,-0.5510051384951736,-0.3335279873694291,,-0.3397537297694291,-0.551533056966894,-0.5515229469487035,0.0005279184717203,0.0003118615048262,0.000216056966894,7.975058696874093e-06,-0.551317,exact_spheroidal,-0.1757906384836573,True,0.1428571428571427,12.0,5.941719739612334e-56,lg,ok,,86.18179392814636,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,56,,24389,,67,1.0,-0.5511231250032,-0.1937735657474,-0.5511216999025998,,,,,,,,,1.425100575325e-06,-0.551317,exact_spheroidal,-0.1757906384837,True,0.1428571428570999,12.0000000000006,5.941719739612001e-56,dense,ok,,64.4784040451,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
