mode,system,d_paper,L,Ly,N,Nprime,D,D_aux,npanel,t_star,op_terms,op_MB,dense_MB,mu1N_Ritz,eee2_Ritz,lambda1D_Ritz,mu2N_oee_Ritz,rho_used,A0,A2,LG_lower,LG_lower_ideal_rho,enclosure_width,truncation_term,LG_discretisation_term,trunc_gap_discrete,lambda_ref,cg_iters_total,cg_max_relres,converged,status,reason,wall_seconds,vs_Om1,h,brackets_exact,dense_TB
approx,H2plus,2,10,8,64,80,35937,68921,48,1,48,2.404512,10331.743752,-0.5518355215618815,-0.2203659987779347,-0.5507405804874107,-0.3370486867157264,-0.3432744291157264,0.448164478438118,2.231446745159233,-0.551913359207023,-0.5519118198025689,0.0011727787196122,0.0005764195125892,0.000596359207023,0.0010949410744708,-0.551317,952,9.324783788383405e-13,True,ok,,12.206979036331177,1.0,0.25,True,0.038000833928
approx,H2plus,2,20,16,64,80,35937,68921,96,1,48,2.404512,10331.743752,-0.5509505956902482,-0.1814736703919537,-0.5509672617594438,-0.3333398828369736,-0.3395656252369737,0.4490494043097509,2.2277098615147115,-0.5514436009223771,-0.5514340210645023,0.0004763391629332,0.000349738240556,0.0001266009223771,-1.6666069195592215e-05,-0.551317,1171,9.828153410769929e-13,True,ok,,14.125042915344238,0.4061628634348941,0.5,True,0.038000833928
approx,H2plus,2,20,16,80,96,68921,117649,96,1,48,4.141984,38000.833928,-0.5511098775002253,-0.1814946448761258,-0.5511208695670443,-0.3335600091271132,-0.3397857515271132,0.4488901224997748,2.228104674190007,-0.5513540171003501,-0.5513492692826225,0.0002331475333058,0.0001961304329556,3.701710035020067e-05,-1.0992066818982238e-05,-0.551317,1164,9.994423262944807e-13,True,ok,,20.71994709968567,0.19879925292547457,0.4166666666666667,True,0.110730297608
approx,H2plus,2,20,16,88,112,91125,185193,96,1,48,5.2488,66430.125,-0.5511635487352348,-0.1815019451439096,-0.5511659327389818,-0.3336030823353995,-0.3398288247353996,0.4488364512647645,2.228342563396529,-0.5513896866213474,-0.5513852891659133,0.0002237538823655,0.0001510672610181,7.268662134740643e-05,-2.3840037469691207e-06,-0.551317,1197,9.786918717907418e-13,True,ok,,34.75653100013733,0.19078951435910108,0.35714285714285715,True,0.274371577992
approx,H2plus,2,20,16,104,128,148877,274625,96,1,48,8.000032,177314.889032,-0.551224428360624,-0.1815098008974145,-0.5512269527381031,-0.3336661066792653,-0.3398918490792653,0.448775571639376,2.228486289993621,-0.551350844881988,-0.5513483861373732,0.0001238921438848,9.004726189676403e-05,3.384488198809876e-05,-2.524377479162787e-06,-0.551317,1207,9.554111757962677e-13,True,ok,,57.846168994903564,0.10563982941792047,0.3125,True,0.603351125
approx,H2plus,2,20,16,128,160,274625,531441,96,1,48,13.6552,603351.125,-0.5512650454029641,-0.1815151258006375,-0.5512655821518039,-0.3337135789915649,-0.3399393213915649,0.4487349545970362,2.228609557730983,-0.5513421318783777,-0.5513406324000281,7.654972657378245e-05,5.141784819595596e-05,2.513187837782649e-05,-5.367488398189124e-07,-0.551317,1230,9.978939609266915e-13,True,ok,,115.34234309196472,0.06527209719417058,0.25,True,2.259436291848
approx,H2plus,2,20,16,160,200,531441,1030301,96,1,48,24.564384,2259436.291848,-0.5512897841978965,-0.1815183248332523,-0.5512905087592758,-0.3337404574071418,-0.3399661998071418,0.4487102158021044,2.2286752313527805,-0.5513309052171984,-0.5513301052760663,4.0396457922531326e-05,2.6491240724069165e-05,1.390521719846216e-05,-7.245613793394058e-07,-0.551317,1194,9.945767130419115e-13,True,ok,,213.19605803489685,0.03444508094066469,0.2,True,8.492161204808
approx,H2plus,2,20,16,192,240,912673,1771561,96,1,48,40.044704,6663776.039432,-0.551300745246796,-0.1815197576052778,-0.5513009016303362,-0.3337520282281156,-0.3399777706281156,0.4486992547532043,2.2287045955987344,-0.551326096992857,-0.5513256038017682,2.519536252076904e-05,1.6098369663652967e-05,9.09699285711607e-06,-1.5638354033953308e-07,-0.551317,1181,9.914731455999785e-13,True,ok,,399.4456648826599,0.021483475185412923,0.16666666666666666,True,25.107427013768
